,stock,term,algorithm,rmse,rmse_norm
0,ASII,short,LSTM,55.00948728414271,0.39292490917244854
1,ASII,short,GRU,51.41078512509552,0.36721989375068265
2,ASII,short,RNN,72.92394184766954,0.4186496333556479
3,ASII,long,LSTM,197.5755217333279,0.07762084459241526
4,ASII,long,GRU,167.37215284412167,0.06602451788722748
5,ASII,long,RNN,163.07260452597404,0.06070873133266466
6,GOTO,short,LSTM,2.3485607668839226,0.7828535889613071
7,GOTO,short,GRU,2.3901321579925154,0.7785089621701156
8,GOTO,short,RNN,2.2216644652497815,0.5773929000990808
9,GOTO,long,LSTM,10.179641512203748,0.13050822451543267
10,GOTO,long,GRU,7.381589976016897,0.09463576892329355
11,GOTO,long,RNN,8.10699611494832,0.08033623230537396
